"title","nomearquivo","evento"
"Empresas públicas começam a enviar dados por meio de ferramenta do eSocial","1527596325DSC_0244.JPG","315"
"Ponto SAC Camamu é reinaugurado nesta quarta-feira (27)","1530118361FOTOCAMAMU.jpeg","325"
"Orientação sobre legislação eleitoral","1530823178leieleitoral.jpeg","329"
"Orientação sobre legislação eleitoral","1530823178leieleitoral.jpeg","329"
"Orientação sobre legislação eleitoral","1530823178leieleitoral.jpeg","329"
"Novo sistema de RH é apresentado a 200 lideranças de órgãos estaduais","1541792406DSC_0965.JPG","333"
"Estado dá início a novo ciclo de planejamento","1542047088Eduardo_Tito2.JPG","335"
"Estado dá início a novo ciclo de planejamento","1542047087Eduardo_Tito3.JPG","335"
"Estado dá início a novo ciclo de planejamento","1542047087Eduardo_Tito1.JPG","335"
"Aprimoramento da gestão de imóveis públicos foi debatido em evento da Saeb","1542219963IMG_2847.JPG","338"
"Aprimoramento da gestão de imóveis públicos foi debatido em evento da Saeb","1542219997IMG_2868.JPG","338"
"Governo arrecada R$ 2,7 milhões com leilão de bens públicos","1543615325Leilao.jpeg","342"
"Governo da Bahia alcança marca de 200 mil processos em tramitação através do SEI","1544534810SeiBahia.png","344"
"Mais 300 servidores participam de mobilização para implantação do RH Bahia","1545410985IMG_3105.JPG","345"
"Novo sistema de Recursos Humanos entra em operação em todo o Estado","1546614707MariananoPortal3corte.jpg","346"
"Rede SAC inaugura unidade de atendimento no Shopping da Bahia","1546857537sacshoppingdabahia.jpeg","347"
"Inaugurado posto SAC em Salvador que abriga Central do Detran","15468780881546863992WhatsApp_Image_20190107_at_09.10.30_0.jpg","348"
"Inaugurado posto SAC em Salvador que abriga Central do Detran","15468780881546863994WhatsApp_Image_20190107_at_09.10.34_0.jpg","348"
"Inaugurado posto SAC em Salvador que abriga Central do Detran","15468780881546863994WhatsApp_Image_20190107_at_09.11.45_0.jpg","348"
"Inaugurado posto SAC em Salvador que abriga Central do Detran","15468780891546863995WhatsApp_Image_20190107_at_09.11.47_0.jpg","348"
"Inaugurado posto SAC em Salvador que abriga Central do Detran","15468780891546863996WhatsApp_Image_20190107_at_09.11.53_0.jpg","348"
"Inaugurado posto SAC em Salvador que abriga Central do Detran","15468780891546864885WhatsApp_Image_20190107_at_09.10.36_0.jpg","348"
"Novo edital do Partiu Estágio seleciona universitários para mais de duas mil vagas","1548779489partiuestagio.jpeg","352"
"Secretário da Administração assegura pagamentos até 8 de fevereiro ","1549120198VisitaRHBahia.jpeg","353"
"Programa de Telemonitoramento do Planserv acolhe 62.154 beneficiários","1550091771Planserv.png","355"
"Órgão estaduais geram 3 mil processos eletrônicos em um dia","1550263484hands545394_1920.jpg","356"
"Governo baiano viabiliza envio eletrônico da segunda etapa do eSocial","1552414204DSC_0244.JPG","358"
"Governo vai leiloar três salas comerciais e um apartamento residencial","1552681963LeilaoCostaAzul.png","359"
"Partiu Estágio assina contrato de 1.215 estudantes de universidades baianas","15548326561554820143MANU9820.JPG","366"
"Governo libera R$ 33,9 milhões em prêmios a servidores que contribuíram para redução da criminalidade","15575118538010a4a074eec26f504a3c3e0b692f02photo.jpg","369"
"Concurso para auditor fiscal registra mais de 17 mil inscritos","155751212534707061792_fd9a18dbcd_o.jpg","370"
"Sub-secretário de Gestão do Maranhão visita o Planserv","1557509493VisitaGovernadorPlanserv.jpeg","368"
"Juazeiro conhece modelo de educação à distância da UCS/Saeb ","1558622928IMG_3724.JPG","372"
"Juazeiro conhece modelo de educação à distância da UCS/Saeb ","1558622929IMG_3725.JPG","372"
"Juazeiro conhece modelo de educação à distância da UCS/Saeb ","1558622929IMG_3733.JPG","372"
"Juazeiro conhece modelo de educação à distância da UCS/Saeb ","1558622930IMG_3735.JPG","372"
"Técnicos e analistas de universidades estaduais fazem acordo com o Governo do Estado","15586530271558651004Foto_Paula_Fres_GOVBA_2.jpg","373"
"Técnicos e analistas de universidades estaduais fazem acordo com o Governo do Estado","15586530271558651005Foto_Paula_Fres_GOVBA.jpg","373"
"Técnicos e analistas de universidades estaduais fazem acordo com o Governo do Estado","15586530271558651005Foto_Paula_Fres_GOVBA_1.jpg","373"
"Mais de 8 mil candidatos realizam provas de concurso para auditor fiscal","1558905360AuditorFiscal.jpeg","375"
"Rede SAC suspende atendimento no feriado de Corpus Christi","1622569106CapimGrossoSAC16696x464.jpg","682"
"Equipamentos urbanos do CAB são revitalizados","1562184028DSC_0552.JPG","378"
"Equipamentos urbanos do CAB são revitalizados","1562184029DSC_0556.JPG","378"
"Equipamentos urbanos do CAB são revitalizados","1562184029DSC_0591.JPG","378"
"Leilão de bens públicos será realizado pela Secretaria Estadual da Administração","1562333333IMG_4117.JPG","379"
"Postos SAC do interior recebem 4ª edição do Projeto Pequeno Cidadão ","1562959280IMG20181219WA0010.jpg","381"
"Programa Primeiro Emprego estimula acesso de jovens à universidade","1563371496a.jpeg","382"
"Secretaria da Administração lança instruções normativas para aprimorar parcerias com Organizações da Sociedade Civil ","1563372384DSC_0604.JPG","383"
"Secretaria da Administração lança instruções normativas para aprimorar parcerias com Organizações da Sociedade Civil ","1563372384DSC_0621.JPG","383"
"Secretaria da Administração lança instruções normativas para aprimorar parcerias com Organizações da Sociedade Civil ","1563372384DSC_0622.JPG","383"
